query,page,clicks,impressions,ctr,position
impresora hp 315 sistema continuo,https://districomp.com.uy/p/impresora-multifuncion-hp-315-sistema-continuo-tinta-incluidas/3841/3841,3,26,0.11538461538461539,18.576923076923077
impresoras sistema continuo uruguay,https://districomp.com.uy/impresoras-y-cartuchos/impresoras-y-multifuncion/impresoras-sistema-continuo/1,3,104,0.028846153846153848,3.576923076923077
ip388,https://districomp.com.uy/p/papel-toalla-zig-zag-elite-21-6x22-cm-x250-ip388/198/198,3,19,0.15789473684210525,3.8421052631578947
jarra electrica nappo,https://districomp.com.uy/p/jarra-electrica-1-8-litros-blanca-nappo/3857/3857,3,66,0.045454545454545456,5.7727272727272725
lapiz mecanico,https://districomp.com.uy/p/lapiz-mecanico-portamina-0-5-negro-shalaku-uni-ball-/678/678,3,701,0.0042796005706134095,30.700427960057063
masilla adhesiva,https://districomp.com.uy/p/patafix-masilla-adhesiva-x80-uhu/3175/3175,3,43,0.06976744186046512,23.86046511627907
notebook,https://districomp.com.uy/tecnologia/informatica/notebook/1,3,146,0.02054794520547945,38.56164383561644
papel crepe colores pastel,https://districomp.com.uy/p/papel-crepe-rosa-pastel-50x200cm-sid/1039/1039,3,30,0.1,28.733333333333334
papel florete,https://districomp.com.uy/p/librillo-de-papel-florete-rayado/182/182,3,186,0.016129032258064516,4.752688172043011
papel opalina a4,https://districomp.com.uy/p/papel-opalina-cartulina-blanca-a4-180-grs-x125-hojas/155/155,3,230,0.013043478260869565,9.308695652173913
papel para rotafolio,https://districomp.com.uy/p/papel-rotafolio-72-x-92cm-1-hoja/5228/5224,3,32,0.09375,27.59375
pegamento para ratas,https://districomp.com.uy/p/trampa-pegamento-para-ratas-jupiter/1261/1261,3,252,0.011904761904761904,50.29761904761905
pizarra blanca,https://districomp.com.uy/p/pizarron-blanco-magnetico-120x90-cm-marco-de-aluminio/1079/1079,3,237,0.012658227848101266,10.654008438818565
plastificadora a4,https://districomp.com.uy/p/plastificadora-a4-fusion-gbc-100-laminas-para-plastificar-a4/5251/5247,3,58,0.05172413793103448,4.982758620689655
plastificadora gbc,https://districomp.com.uy/p/plastificadora-a4-gbc-fusion-1100l/5177/5173,3,29,0.10344827586206896,2.206896551724138
plastificadoras a4,https://districomp.com.uy/p/plastificadora-a4-gbc-fusion-1100l/5177/5173,3,44,0.06818181818181818,4.204545454545455
porta credencial,https://districomp.com.uy/p/porta-credencial-pvc-95-x-68-deli-/3044/3044,3,55,0.05454545454545454,3.0727272727272728
porta tarjetas personales,https://districomp.com.uy/p/porta-tarjetas-personales-x120-deli-/351/351,3,68,0.04411764705882353,15.205882352941176
rollos de pos,https://districomp.com.uy/papeles/rollos/rollos-de-pos/1,3,53,0.05660377358490566,3.7169811320754715
rotola.com.uy,https://districomp.com.uy/p/etiquetas-imprimibles-rotola-a4-27-270-unidades-63-x-31-mm/375/375,3,60,0.05,3.5166666666666666
rotuladora de etiquetas,https://districomp.com.uy/p/rotuladora-impresora-etiquetas-pt-h110p-brother-blanca/839/839,3,25,0.12,7.2
sacapuntas deli,https://districomp.com.uy/p/sacapuntas-macaron-deli-/1905/1905,3,7,0.42857142857142855,8.142857142857142
salida de caja,https://districomp.com.uy/p/formulario-salida-de-caja-en-pesos-/3999/3999,3,55,0.05454545454545454,39.345454545454544
sillas de escritorio,https://districomp.com.uy/mobiliario-y-equipamiento/mobiliario/sillas/1,3,141,0.02127659574468085,42.8936170212766
sistema continuo impresora,https://districomp.com.uy/impresoras-y-cartuchos/impresoras-y-multifuncion/impresoras-sistema-continuo/1,3,139,0.02158273381294964,9.884892086330936
tambor brother dcp l2540dw,https://districomp.com.uy/p/tambor-original-brother-dr-2340-dcp-2520-2540-2320/2646/2646,3,30,0.1,8.8
tapas transparentes para encuadernar,https://districomp.com.uy/p/tapa-a4-para-encuadernar-lisa-transparente-x20/4873/4873,3,11,0.2727272727272727,5.2727272727272725
te mixto la selva,https://districomp.com.uy/p/te-mixto-la-selva-x100-saquitos-de-1g-/1612/1612,3,78,0.038461538461538464,3.3461538461538463
tinta canon g2010,https://districomp.com.uy/p/tinta-para-impresora-canon-gi-190-negro-g2010-2110-2800-3100-1100-original/2428/2428,3,205,0.014634146341463415,3.8146341463414632
tinta para epson l3150,https://districomp.com.uy/p/botella-de-tinta-compatible-epson-t544-negro-l3110-l3150-/2324/2324,3,55,0.05454545454545454,13.218181818181819
tinta para impresora canon,https://districomp.com.uy/p/tinta-para-impresora-canon-gi-190-negro-g2010-2110-2800-3100-1100-original/2428/2428,3,369,0.008130081300813009,34.81842818428184
toner brother,https://districomp.com.uy/p/toner-compatible-brother-tn-1060-hl-1110-1112-ameriprint/2856/2856,3,161,0.018633540372670808,5.248447204968944
toner brother hl 1200,https://districomp.com.uy/p/impresora-laser-brother-hl-1200-monocromatica-toner-incluido/3695/3695,3,543,0.0055248618784530384,21.96685082872928
toner impresora samsung,https://districomp.com.uy/p/toner-compatible-samsung-mlt-111s-m-2020-2020w-2022-2070/2859/2859,3,68,0.04411764705882353,10.955882352941176
toner samsung ml 2165w,https://districomp.com.uy/p/toner-compatible-samsung-101s-ml-2160-ml-2165w/2545/2545,3,110,0.02727272727272727,16.490909090909092
toner tn 750,https://districomp.com.uy/p/toner-original-brother-tn-750-negro-mfc-8510-8710-8910/5026/5026,3,7,0.42857142857142855,2.571428571428571
té mixto la selva componentes,https://districomp.com.uy/p/te-mixto-la-selva-x100-saquitos-de-1g-/1612/1612,3,54,0.05555555555555555,2.148148148148148
urusal,https://districomp.com.uy/p/sal-fina-500g-urusal-/1575/1575,3,431,0.0069605568445475635,6.568445475638051
yerba baldo,https://districomp.com.uy/p/yerba-baldo-5kg/1755/1755,3,1129,0.002657218777679362,19.813108945969883
yerba la selva para nerviosos,https://districomp.com.uy/p/yerba-la-selva-para-nerviosos-1kg/1380/1380,3,258,0.011627906976744186,5.837209302325581
agenda 2022,https://districomp.com.uy/p/agenda-2022-dia-a-dia-colores-sabonis/5607/5603,2,35,0.05714285714285714,58.542857142857144
agenda 2022 diaria,https://districomp.com.uy/p/agenda-2022-dia-a-dia-colores-sabonis/5607/5603,2,9,0.2222222222222222,6.555555555555555
agenda remember 2022,https://districomp.com.uy/p/agenda-2022-semanal-remember-first-1411-azul/5611/5607,2,39,0.05128205128205128,8.307692307692307
agua salus 2.25 precio,https://districomp.com.uy/p/agua-salus-sin-gas-2-25l/1412/1412,2,70,0.02857142857142857,8.271428571428572
agua salus bidon,https://districomp.com.uy/p/agua-salus-sin-gas-bidon-20-lts/1606/1606,2,79,0.02531645569620253,8.379746835443038
archivador con divisiones,https://districomp.com.uy/p/archivador-12-divisiones-oficio-con-elastico-sworld/6121/6117,2,4,0.5,3.5
aspiradora vertical,https://districomp.com.uy/p/aspiradora-vertical-2-en-1-multilaser-ho061-roja-/4484/4484,2,48,0.041666666666666664,9.770833333333334
banderitas adhesivas,https://districomp.com.uy/papeleria-y-oficina/utiles-de-oficina/banderitas-autoadhesivas/1,2,17,0.11764705882352941,4.117647058823529
banderitas adhesivas de colores,https://districomp.com.uy/p/banderitas-senaladoras-adhesivas-x5-colores-20-hojas-deli/1153/1153,2,2,1.0,4.0
bidon de agua,https://districomp.com.uy/p/agua-salus-sin-gas-bidon-20-lts/1606/1606,2,626,0.003194888178913738,10.241214057507987
bidon de agua salus,https://districomp.com.uy/p/agua-salus-sin-gas-bidon-20-lts/1606/1606,2,416,0.004807692307692308,6.105769230769231
bidón salus 20 litros precio,https://districomp.com.uy/p/agua-salus-sin-gas-bidon-20-lts/1606/1606,2,6,0.3333333333333333,1.0
botella termica acero inoxidable,https://districomp.com.uy/p/botella-termica-acero-inoxidable-500ml-doble-pared-selecta/1243/1243,2,51,0.0392156862745098,6.490196078431373
broche self,https://districomp.com.uy/p/broche-self-n-ordm-5-25mm-x100-unidades/105/105,2,72,0.027777777777777776,2.9444444444444446
broches self,https://districomp.com.uy/p/broche-self-n-ordm-5-25mm-x100-unidades/105/105,2,59,0.03389830508474576,5.898305084745763
brother dcp-t420w wifi,https://districomp.com.uy/p/impresora-multifuncion-brother-dcp-t420w-sistema-continuo-wifi-tinta-incluidas/3961/3961,2,9,0.2222222222222222,6.333333333333333
